Id,CommandeRef,ProduitReference,Quantite,PrixUnitaire
8727,3939,SODIV-40480,1,3273
8728,3939,SODIV-40302,1,2580
8729,3940,SODIV-40594,1,2939
8730,3941,SODIV-40371,1,279
8731,3941,SODIV-40430,4,1453
8732,3941,SODIV-40519,1,1235
8733,3941,SODIV-40258,1,1293
8734,3942,SODIV-40634,1,1850
8735,3942,SODIV-40402,3,1736
8736,3942,SODIV-40401,1,222
8737,3943,SODIV-40595,3,3989
8738,3943,SODIV-40379,1,2650
8739,3943,SODIV-40347,1,683
8740,3944,SODIV-40319,1,3939
8741,3944,SODIV-40432,1,3735
8742,3944,SODIV-40342,1,2805
8743,3945,SODIV-40075,4,457
8744,3946,SODIV-40663,3,1984
8745,3946,SODIV-40474,5,3861
8746,3947,SODIV-40380,1,3685
8747,3947,SODIV-40162,2,1304
8748,3948,SODIV-40237,4,184
8749,3948,SODIV-40502,10,3598
8750,3948,SODIV-40289,2,1523
8751,3949,SODIV-40119,1,1294
8752,3949,SODIV-40261,5,269
8753,3949,SODIV-40248,4,2803
8754,3949,SODIV-40029,3,3992
8755,3949,SODIV-40617,5,674
8756,3950,SODIV-40352,1,1017
8757,3950,SODIV-40202,1,225
8758,3951,SODIV-40251,1,3470
8759,3951,SODIV-40271,1,1513
8760,3952,SODIV-40572,1,2063
8761,3953,SODIV-40511,1,1780
8762,3954,SODIV-40454,1,182
8763,3954,SODIV-40250,1,2108
8764,3954,SODIV-40649,4,2003
8765,3954,SODIV-40262,1,3718
8766,3954,SODIV-40196,3,2598
8767,3955,SODIV-40129,1,2787
8768,3955,SODIV-40271,2,1513
8769,3956,SODIV-40058,2,2573
8770,3956,SODIV-40038,3,3780
8771,3956,SODIV-40591,1,3144
8772,3957,SODIV-40315,2,571
8773,3957,SODIV-40469,4,2220
8774,3958,SODIV-40505,2,3377
8775,3958,SODIV-40059,4,2694
8776,3958,SODIV-40405,5,594
8777,3959,SODIV-40170,4,1459
8778,3960,SODIV-40207,1,1595
8779,3960,SODIV-40283,1,3335
8780,3961,SODIV-40620,4,3400
8781,3962,SODIV-40594,1,2939
8782,3962,SODIV-40213,4,95
8783,3962,SODIV-40195,1,106
8784,3963,SODIV-40506,1,3931
8785,3963,SODIV-40437,2,3702
8786,3964,SODIV-40147,3,1618
8787,3964,SODIV-40278,1,1536
8788,3965,SODIV-40429,2,3947
8789,3965,SODIV-40434,1,416
8790,3966,SODIV-40166,3,3407
8791,3966,SODIV-40073,1,3583
8792,3967,SODIV-40379,1,2650
8793,3967,SODIV-40430,1,1453
8794,3968,SODIV-40435,1,3405
8795,3969,SODIV-40061,1,1728
8796,3970,SODIV-40481,3,715
8797,3970,SODIV-40484,5,1619
8798,3971,SODIV-40092,1,3218
8799,3971,SODIV-40615,2,3290
8800,3971,SODIV-40366,1,641
8801,3972,SODIV-40522,3,3757
8802,3972,SODIV-40119,1,1294
8803,3973,SODIV-40526,2,3607
8804,3973,SODIV-40645,1,340
8805,3974,SODIV-40426,5,898
8806,3974,SODIV-40462,3,555
8807,3974,SODIV-40292,1,1018
8808,3975,SODIV-40561,1,2098
8809,3975,SODIV-40375,1,1991
8810,3976,SODIV-40578,1,3371
8811,3977,SODIV-40108,1,566
8812,3978,SODIV-40512,2,3966
8813,3979,SODIV-40273,2,3059
8814,3979,SODIV-40060,1,367
8815,3979,SODIV-40665,1,2578
8816,3980,SODIV-40188,4,3583
8817,3980,SODIV-40166,1,3407
8818,3981,SODIV-40567,1,1062
8819,3982,SODIV-40525,1,3426
8820,3982,SODIV-40160,1,2326
8821,3983,SODIV-40044,2,3656
8822,3983,SODIV-40179,1,271
8823,3984,SODIV-40542,1,2620
8824,3985,SODIV-40547,3,329
8825,3985,SODIV-40537,1,2233
8826,3986,SODIV-40644,2,2202
8827,3986,SODIV-40585,5,1326
8828,3986,SODIV-40332,1,2724
8829,3987,SODIV-40549,1,3199
8830,3987,SODIV-40030,1,1812
8831,3987,SODIV-40018,1,3021
8832,3988,SODIV-40002,10,2059
8833,3988,SODIV-40631,1,1630
8834,3988,SODIV-40343,2,3962
8835,3988,SODIV-40195,5,106
8836,3989,SODIV-40071,1,2670
8837,3989,SODIV-40615,2,3290
8838,3989,SODIV-40044,2,3656
8839,3990,SODIV-40659,3,1086
8840,3990,SODIV-40274,10,281
8841,3990,SODIV-40439,1,2618
8842,3990,SODIV-40193,3,1049
8843,3991,SODIV-40296,4,544
8844,3991,SODIV-40660,3,1186
8845,3992,SODIV-40337,3,3913
8846,3992,SODIV-40430,1,1453
8847,3992,SODIV-40190,1,905
8848,3992,SODIV-40106,1,2064
8849,3993,SODIV-40270,4,1089
8850,3994,SODIV-40070,2,594
8851,3994,SODIV-40565,1,3351
8852,3995,SODIV-40330,2,3120
8853,3995,SODIV-40187,10,2378
8854,3996,SODIV-40547,2,329
8855,3996,SODIV-40613,2,1434
8856,3996,SODIV-40432,1,3735
8857,3996,SODIV-40032,2,1326
8858,3996,SODIV-40221,1,263
8859,3997,SODIV-40508,1,1291
8860,3997,SODIV-40510,1,1487
8861,3998,SODIV-40663,1,1984
8862,3999,SODIV-40144,1,1921
8863,3999,SODIV-40283,1,3335
8864,3999,SODIV-40209,1,2926
8865,4000,SODIV-40388,1,2264
8866,4000,SODIV-40308,1,2868
8867,4001,SODIV-40296,2,544
8868,4002,SODIV-40537,1,2233
8869,4002,SODIV-40617,2,674
8870,4002,SODIV-40529,1,3661
8871,4002,SODIV-40622,1,2784
8872,4003,SODIV-40510,10,1487
8873,4004,SODIV-40080,1,3102
8874,4004,SODIV-40184,1,3475
8875,4004,SODIV-40215,1,130
8876,4005,SODIV-40078,1,1212
8877,4005,SODIV-40186,4,3773
8878,4005,SODIV-40402,1,1736
8879,4005,SODIV-40358,1,157
8880,4006,SODIV-40016,1,832
8881,4007,SODIV-40569,3,1998
8882,4007,SODIV-40232,1,2539
8883,4007,SODIV-40028,1,2227
8884,4007,SODIV-40041,3,2609
8885,4008,SODIV-40228,1,383
8886,4008,SODIV-40115,1,2448
8887,4008,SODIV-40323,1,2665
8888,4009,SODIV-40227,5,776
8889,4009,SODIV-40366,1,641
8890,4009,SODIV-40261,2,269
8891,4009,SODIV-40408,1,238
8892,4010,SODIV-40623,2,2861
8893,4010,SODIV-40500,2,2117
8894,4010,SODIV-40452,2,936
8895,4010,SODIV-40406,2,3313
8896,4011,SODIV-40228,2,383
8897,4012,SODIV-40469,3,2220
8898,4012,SODIV-40358,1,157
8899,4012,SODIV-40148,5,2326
8900,4012,SODIV-40284,1,3654
8901,4012,SODIV-40396,2,2616
8902,4013,SODIV-40353,1,3484
8903,4013,SODIV-40431,10,2979
8904,4013,SODIV-40614,1,3279
8905,4014,SODIV-40508,1,1291
8906,4014,SODIV-40473,1,3719
8907,4014,SODIV-40085,1,3974
8908,4015,SODIV-40265,1,453
8909,4016,SODIV-40049,1,933
8910,4017,SODIV-40038,2,3780
8911,4017,SODIV-40568,1,370
8912,4018,SODIV-40415,2,1225
8913,4018,SODIV-40475,2,2442
8914,4019,SODIV-40185,2,2079
8915,4019,SODIV-40404,1,1176
8916,4019,SODIV-40285,2,3655
8917,4020,SODIV-40103,1,2827
8918,4020,SODIV-40264,2,3477
8919,4021,SODIV-40463,1,506
8920,4022,SODIV-40491,2,2506
8921,4023,SODIV-40354,1,945
8922,4023,SODIV-40380,1,3685
8923,4023,SODIV-40113,1,765
8924,4024,SODIV-40568,3,370
8925,4025,SODIV-40580,2,82
8926,4025,SODIV-40096,2,3138
8927,4025,SODIV-40113,1,765
8928,4026,SODIV-40125,1,3904
8929,4026,SODIV-40591,1,3144
8930,4027,SODIV-40158,1,2942
8931,4027,SODIV-40664,1,707
8932,4028,SODIV-40512,1,3966
8933,4029,SODIV-40115,2,2448
8934,4030,SODIV-40037,1,3961
8935,4030,SODIV-40120,2,2932
8936,4030,SODIV-40426,4,898
8937,4031,SODIV-40046,1,2357
8938,4031,SODIV-40425,1,2568
8939,4031,SODIV-40378,1,3244
8940,4032,SODIV-40385,1,2139
8941,4032,SODIV-40490,1,696
8942,4032,SODIV-40137,1,913
8943,4033,SODIV-40396,3,2616
8944,4034,SODIV-40037,2,3961
8945,4034,SODIV-40589,1,2018
8946,4034,SODIV-40234,1,1786
8947,4035,SODIV-40559,1,3199
8948,4035,SODIV-40067,1,1669
8949,4036,SODIV-40663,1,1984
8950,4037,SODIV-40344,2,389
8951,4038,SODIV-40496,1,3331
8952,4039,SODIV-40636,3,1373
8953,4040,SODIV-40197,4,1949
8954,4041,SODIV-40022,10,2349
8955,4042,SODIV-40244,1,3147
8956,4043,SODIV-40540,3,1522
8957,4043,SODIV-40515,1,1917
8958,4044,SODIV-40495,5,3260
8959,4044,SODIV-40021,1,2741
8960,4045,SODIV-40506,1,3931
8961,4046,SODIV-40605,1,2931
8962,4046,SODIV-40054,1,2136
8963,4047,SODIV-40134,2,1853
8964,4047,SODIV-40391,1,3979
8965,4048,SODIV-40117,2,111
8966,4049,SODIV-40649,3,2003
8967,4049,SODIV-40378,1,3244
8968,4050,SODIV-40223,1,3674
8969,4050,SODIV-40153,1,3202
8970,4051,SODIV-40553,1,1683
8971,4052,SODIV-40565,1,3351
8972,4052,SODIV-40314,1,3891
8973,4052,SODIV-40182,1,2677
8974,4052,SODIV-40475,1,2442
8975,4053,SODIV-40397,3,3520
8976,4053,SODIV-40118,1,2943
8977,4053,SODIV-40667,1,1526
8978,4053,SODIV-40315,3,571
8979,4054,SODIV-40625,2,450
8980,4055,SODIV-40640,1,2982
8981,4055,SODIV-40596,1,635
8982,4056,SODIV-40466,3,515
8983,4057,SODIV-40080,1,3102
8984,4057,SODIV-40659,1,1086
8985,4057,SODIV-40075,2,457
8986,4057,SODIV-40362,1,315
8987,4058,SODIV-40629,1,2349
8988,4058,SODIV-40061,1,1728
8989,4059,SODIV-40077,1,3392
8990,4059,SODIV-40660,1,1186
8991,4060,SODIV-40593,3,1667
8992,4060,SODIV-40552,2,3465
8993,4060,SODIV-40479,4,659
8994,4061,SODIV-40280,1,607
8995,4061,SODIV-40651,1,1416
8996,4062,SODIV-40620,1,3400
8997,4063,SODIV-40339,10,3654
8998,4063,SODIV-40541,1,3826
8999,4064,SODIV-40049,1,933
9000,4065,SODIV-40495,1,3260
9001,4065,SODIV-40576,1,1648
9002,4066,SODIV-40305,1,705
9003,4067,SODIV-40540,10,1522
9004,4067,SODIV-40638,4,1406
9005,4067,SODIV-40064,1,2210
9006,4068,SODIV-40334,3,3555
9007,4068,SODIV-40074,1,2460
9008,4069,SODIV-40250,2,2108
9009,4069,SODIV-40058,1,2573
9010,4069,SODIV-40427,1,2725
9011,4070,SODIV-40184,4,3475
9012,4070,SODIV-40648,1,1960
9013,4070,SODIV-40295,3,910
9014,4070,SODIV-40463,1,506
9015,4071,SODIV-40566,1,3757
9016,4072,SODIV-40275,4,2153
9017,4072,SODIV-40416,1,2850
9018,4073,SODIV-40286,2,1375
9019,4073,SODIV-40478,10,451
9020,4074,SODIV-40324,1,2452
9021,4074,SODIV-40426,1,898
9022,4075,SODIV-40607,4,1072
9023,4076,SODIV-40237,5,184
9024,4076,SODIV-40505,2,3377
9025,4076,SODIV-40373,1,3797
9026,4077,SODIV-40315,2,571
9027,4078,SODIV-40457,2,1723
9028,4079,SODIV-40566,3,3757
9029,4079,SODIV-40234,1,1786
9030,4080,SODIV-40402,2,1736
9031,4081,SODIV-40622,2,2784
9032,4081,SODIV-40431,1,2979
9033,4082,SODIV-40133,5,3763
9034,4082,SODIV-40276,1,3256
9035,4083,SODIV-40388,1,2264
9036,4083,SODIV-40549,1,3199
9037,4084,SODIV-40238,1,2956
9038,4084,SODIV-40400,1,2261
9039,4085,SODIV-40519,1,1235
9040,4086,SODIV-40569,1,1998
9041,4086,SODIV-40215,1,130
9042,4086,SODIV-40147,1,1618
9043,4087,SODIV-40334,1,3555
9044,4088,SODIV-40112,1,979
9045,4088,SODIV-40369,1,1963
9046,4088,SODIV-40658,2,1364
9047,4088,SODIV-40563,1,3923
9048,4088,SODIV-40528,5,3465
9049,4089,SODIV-40114,2,3622
9050,4090,SODIV-40100,1,2886
9051,4090,SODIV-40556,1,999
9052,4091,SODIV-40320,2,1013
9053,4092,SODIV-40546,1,713
9054,4092,SODIV-40153,1,3202
9055,4093,SODIV-40596,1,635
9056,4094,SODIV-40213,1,95
9057,4094,SODIV-40075,1,457
9058,4094,SODIV-40482,1,604
9059,4094,SODIV-40183,1,1050
9060,4094,SODIV-40264,1,3477
9061,4095,SODIV-40422,1,2029
9062,4095,SODIV-40661,5,3554
9063,4095,SODIV-40175,1,1448
9064,4096,SODIV-40265,1,453
9065,4097,SODIV-40360,2,394
9066,4097,SODIV-40585,1,1326
9067,4097,SODIV-40265,2,453
9068,4097,SODIV-40160,4,2326
9069,4098,SODIV-40126,1,2557
9070,4099,SODIV-40017,1,706
9071,4099,SODIV-40069,2,3809
9072,4099,SODIV-40337,1,3913
9073,4100,SODIV-40423,3,724
9074,4100,SODIV-40009,2,1020
9075,4101,SODIV-40592,4,1785
9076,4101,SODIV-40420,1,3358
9077,4101,SODIV-40400,1,2261
9078,4101,SODIV-40219,1,2715
9079,4102,SODIV-40188,1,3583
9080,4103,SODIV-40107,10,3362
9081,4103,SODIV-40146,3,3984
9082,4103,SODIV-40277,1,2469
9083,4103,SODIV-40592,10,1785
9084,4103,SODIV-40638,1,1406
9085,4104,SODIV-40397,1,3520
9086,4104,SODIV-40506,1,3931
9087,4104,SODIV-40458,2,2717
9088,4105,SODIV-40454,1,182
9089,4106,SODIV-40223,1,3674
9090,4107,SODIV-40536,1,2380
9091,4107,SODIV-40600,4,2109
9092,4107,SODIV-40134,1,1853
9093,4108,SODIV-40521,1,533
9094,4109,SODIV-40220,1,3136
9095,4109,SODIV-40027,3,923
9096,4110,SODIV-40618,1,1752
9097,4110,SODIV-40272,1,2001
9098,4110,SODIV-40475,1,2442
9099,4110,SODIV-40504,10,1200
9100,4110,SODIV-40294,5,1480
9101,4111,SODIV-40482,1,604
9102,4111,SODIV-40286,2,1375
9103,4111,SODIV-40275,1,2153
9104,4111,SODIV-40640,1,2982
9105,4112,SODIV-40437,5,3702
9106,4112,SODIV-40566,2,3757
9107,4113,SODIV-40436,4,1887
9108,4113,SODIV-40546,1,713
9109,4113,SODIV-40408,1,238
9110,4114,SODIV-40127,1,1965
9111,4115,SODIV-40322,4,3976
9112,4115,SODIV-40589,1,2018
9113,4115,SODIV-40180,1,2011
9114,4116,SODIV-40073,1,3583
9115,4116,SODIV-40526,1,3607
9116,4117,SODIV-40629,1,2349
9117,4117,SODIV-40117,5,111
9118,4117,SODIV-40348,5,2583
9119,4117,SODIV-40601,1,648
9120,4118,SODIV-40274,1,281
9121,4118,SODIV-40363,1,2733
9122,4119,SODIV-40102,5,517
9123,4119,SODIV-40402,3,1736
9124,4120,SODIV-40467,2,2390
9125,4121,SODIV-40567,1,1062
9126,4122,SODIV-40648,1,1960
9127,4123,SODIV-40250,1,2108
9128,4124,SODIV-40171,1,1001
9129,4125,SODIV-40309,1,2906
9130,4125,SODIV-40305,1,705
9131,4125,SODIV-40223,2,3674
9132,4126,SODIV-40319,2,3939
9133,4127,SODIV-40383,1,2867
9134,4127,SODIV-40048,1,3403
9135,4127,SODIV-40300,4,3095
9136,4128,SODIV-40581,2,481
9137,4128,SODIV-40538,1,914
9138,4129,SODIV-40393,1,2534
9139,4129,SODIV-40116,1,1456
9140,4129,SODIV-40560,1,3032
9141,4130,SODIV-40001,2,839
9142,4131,SODIV-40099,1,83
9143,4132,SODIV-40033,1,3444
9144,4133,SODIV-40266,3,1614
9145,4134,SODIV-40436,1,1887
9146,4134,SODIV-40018,5,3021
9147,4134,SODIV-40613,1,1434
9148,4134,SODIV-40310,4,3297
9149,4135,SODIV-40357,4,3066
9150,4135,SODIV-40545,1,1316
9151,4136,SODIV-40242,2,1926
9152,4136,SODIV-40532,5,1243
9153,4137,SODIV-40170,1,1459
9154,4137,SODIV-40356,3,2113
9155,4137,SODIV-40272,1,2001
9156,4137,SODIV-40270,1,1089
9157,4138,SODIV-40459,1,1850
9158,4138,SODIV-40169,1,1896
9159,4139,SODIV-40143,1,1489
9160,4140,SODIV-40532,1,1243
9161,4140,SODIV-40149,1,1852
9162,4141,SODIV-40439,2,2618
9163,4141,SODIV-40177,1,1922
9164,4141,SODIV-40203,1,2173
9165,4141,SODIV-40611,1,3814
9166,4142,SODIV-40206,2,2818
9167,4142,SODIV-40572,1,2063
9168,4142,SODIV-40433,4,2112
9169,4143,SODIV-40117,2,111
9170,4143,SODIV-40134,1,1853
9171,4143,SODIV-40347,1,683
9172,4143,SODIV-40309,1,2906
9173,4144,SODIV-40269,1,2537
9174,4145,SODIV-40041,2,2609
9175,4146,SODIV-40019,1,3724
9176,4146,SODIV-40068,5,613
9177,4146,SODIV-40426,5,898
9178,4146,SODIV-40312,1,3490
9179,4146,SODIV-40165,1,2245
9180,4147,SODIV-40313,2,148
9181,4147,SODIV-40243,5,355
9182,4148,SODIV-40428,1,2287
9183,4148,SODIV-40286,1,1375
9184,4148,SODIV-40648,1,1960
9185,4149,SODIV-40340,1,2437
9186,4149,SODIV-40371,1,279
9187,4149,SODIV-40467,1,2390
9188,4150,SODIV-40251,1,3470
9189,4151,SODIV-40158,1,2942
9190,4152,SODIV-40475,2,2442
9191,4152,SODIV-40316,1,1928
9192,4152,SODIV-40605,2,2931
9193,4153,SODIV-40531,1,1024
9194,4153,SODIV-40264,5,3477
9195,4154,SODIV-40605,1,2931
9196,4154,SODIV-40025,1,2757
9197,4154,SODIV-40096,1,3138
9198,4155,SODIV-40568,1,370
9199,4156,SODIV-40220,1,3136
9200,4156,SODIV-40014,1,1243
9201,4157,SODIV-40653,2,1397
9202,4157,SODIV-40313,1,148
9203,4157,SODIV-40550,1,3912
9204,4157,SODIV-40518,5,3737
9205,4157,SODIV-40496,1,3331
9206,4158,SODIV-40321,2,3959
9207,4158,SODIV-40457,1,1723
9208,4158,SODIV-40541,1,3826
9209,4159,SODIV-40408,1,238
9210,4159,SODIV-40326,10,278
9211,4159,SODIV-40063,2,2559
9212,4159,SODIV-40109,1,3406
9213,4160,SODIV-40076,4,531
9214,4160,SODIV-40524,5,410
9215,4160,SODIV-40623,1,2861
9216,4160,SODIV-40187,5,2378
9217,4161,SODIV-40443,3,1364
9218,4161,SODIV-40536,1,2380
9219,4162,SODIV-40631,1,1630
9220,4162,SODIV-40425,1,2568
9221,4163,SODIV-40565,1,3351
9222,4164,SODIV-40071,5,2670
9223,4165,SODIV-40615,2,3290
9224,4165,SODIV-40624,1,2901
9225,4166,SODIV-40613,1,1434
9226,4167,SODIV-40519,5,1235
9227,4167,SODIV-40157,2,1086
9228,4167,SODIV-40263,4,2653
9229,4168,SODIV-40371,1,279
9230,4168,SODIV-40564,1,2336
9231,4169,SODIV-40170,1,1459
9232,4169,SODIV-40626,1,2944
9233,4169,SODIV-40191,1,939
9234,4170,SODIV-40259,5,1687
9235,4170,SODIV-40460,1,1861
9236,4170,SODIV-40493,1,3874
9237,4170,SODIV-40083,1,2585
9238,4170,SODIV-40447,1,1892
9239,4171,SODIV-40057,3,569
9240,4172,SODIV-40087,4,3409
9241,4173,SODIV-40577,1,3997
9242,4173,SODIV-40626,1,2944
9243,4173,SODIV-40160,5,2326
9244,4174,SODIV-40195,1,106
9245,4174,SODIV-40026,1,2420
9246,4175,SODIV-40006,1,1136
9247,4175,SODIV-40307,1,1660
9248,4176,SODIV-40075,1,457
9249,4177,SODIV-40077,2,3392
9250,4178,SODIV-40005,1,1932
9251,4178,SODIV-40641,1,1833
9252,4179,SODIV-40583,1,1517
9253,4180,SODIV-40345,5,3607
9254,4181,SODIV-40553,1,1683
9255,4182,SODIV-40255,1,858
9256,4182,SODIV-40423,4,724
9257,4182,SODIV-40539,1,2621
9258,4183,SODIV-40507,1,1003
9259,4184,SODIV-40049,3,933
9260,4184,SODIV-40210,2,3683
9261,4184,SODIV-40508,5,1291
9262,4184,SODIV-40191,1,939
9263,4185,SODIV-40529,2,3661
9264,4185,SODIV-40329,1,693
9265,4186,SODIV-40158,1,2942
9266,4187,SODIV-40182,5,2677
9267,4188,SODIV-40374,1,3651
9268,4188,SODIV-40666,4,1254
9269,4188,SODIV-40016,1,832
9270,4189,SODIV-40547,2,329
9271,4189,SODIV-40419,1,2940
9272,4190,SODIV-40059,1,2694
9273,4190,SODIV-40207,10,1595
9274,4190,SODIV-40538,1,914
9275,4190,SODIV-40163,1,1348
9276,4190,SODIV-40634,1,1850
9277,4191,SODIV-40423,1,724
9278,4192,SODIV-40332,5,2724
9279,4192,SODIV-40108,4,566
9280,4192,SODIV-40304,2,3834
9281,4192,SODIV-40178,3,2729
9282,4192,SODIV-40265,1,453
9283,4193,SODIV-40044,1,3656
9284,4193,SODIV-40171,4,1001
9285,4194,SODIV-40049,1,933
9286,4194,SODIV-40108,1,566
9287,4194,SODIV-40589,1,2018
9288,4195,SODIV-40035,1,1914
9289,4195,SODIV-40449,2,3573
9290,4196,SODIV-40271,2,1513
9291,4197,SODIV-40229,10,3511
9292,4197,SODIV-40607,10,1072
9293,4198,SODIV-40004,1,602
9294,4198,SODIV-40536,1,2380
9295,4199,SODIV-40448,1,3853
9296,4199,SODIV-40076,1,531
9297,4200,SODIV-40407,1,2781
9298,4200,SODIV-40246,2,602
9299,4200,SODIV-40169,4,1896
9300,4201,SODIV-40386,1,1830
9301,4201,SODIV-40105,4,800
9302,4202,SODIV-40452,4,936
9303,4203,SODIV-40077,1,3392
9304,4204,SODIV-40558,1,2625
9305,4204,SODIV-40247,1,3773
9306,4204,SODIV-40574,2,1032
9307,4204,SODIV-40182,2,2677
9308,4204,SODIV-40364,1,1783
9309,4205,SODIV-40569,3,1998
9310,4205,SODIV-40092,10,3218
9311,4205,SODIV-40282,3,2550
9312,4206,SODIV-40026,5,2420
9313,4206,SODIV-40243,1,355
9314,4207,SODIV-40299,1,1639
9315,4207,SODIV-40539,2,2621
9316,4208,SODIV-40665,1,2578
9317,4208,SODIV-40494,1,3178
9318,4208,SODIV-40306,5,3905
9319,4209,SODIV-40661,1,3554
9320,4209,SODIV-40238,4,2956
9321,4210,SODIV-40123,3,2977
9322,4211,SODIV-40132,1,2187
9323,4211,SODIV-40280,1,607
9324,4212,SODIV-40034,5,3642
9325,4212,SODIV-40486,3,3555
9326,4212,SODIV-40131,1,3528
9327,4213,SODIV-40284,3,3654
9328,4213,SODIV-40419,10,2940
9329,4213,SODIV-40033,5,3444
9330,4213,SODIV-40467,4,2390
9331,4214,SODIV-40579,5,3724
9332,4215,SODIV-40168,1,3457
9333,4216,SODIV-40001,1,839
9334,4217,SODIV-40174,1,1669
9335,4218,SODIV-40145,2,3595
9336,4219,SODIV-40421,3,2682
9337,4219,SODIV-40027,2,923
9338,4219,SODIV-40537,4,2233
9339,4220,SODIV-40335,4,2014
9340,4220,SODIV-40049,1,933
9341,4220,SODIV-40393,3,2534
9342,4220,SODIV-40053,2,3003
9343,4220,SODIV-40441,3,544
9344,4221,SODIV-40384,1,1086
9345,4221,SODIV-40332,4,2724
9346,4222,SODIV-40161,1,2415
9347,4222,SODIV-40637,2,609
9348,4223,SODIV-40006,2,1136
9349,4223,SODIV-40552,3,3465
9350,4224,SODIV-40351,1,984
9351,4225,SODIV-40173,3,3630
9352,4226,SODIV-40188,2,3583
9353,4227,SODIV-40453,5,3854
9354,4227,SODIV-40441,10,544
9355,4228,SODIV-40017,2,706
9356,4228,SODIV-40138,3,921
9357,4229,SODIV-40455,1,967
9358,4229,SODIV-40203,1,2173
9359,4229,SODIV-40074,2,2460
9360,4230,SODIV-40177,1,1922
9361,4231,SODIV-40244,1,3147
9362,4231,SODIV-40656,5,1655
9363,4231,SODIV-40572,10,2063
9364,4231,SODIV-40433,2,2112
9365,4232,SODIV-40231,2,2041
9366,4233,SODIV-40521,2,533
9367,4233,SODIV-40642,2,2506
9368,4233,SODIV-40216,1,2881
9369,4234,SODIV-40211,1,1016
9370,4235,SODIV-40070,3,594
9371,4235,SODIV-40202,2,225
9372,4236,SODIV-40196,1,2598
9373,4236,SODIV-40450,2,291
9374,4237,SODIV-40387,1,2608
9375,4237,SODIV-40199,4,502
9376,4237,SODIV-40537,2,2233
9377,4237,SODIV-40050,4,1205
9378,4238,SODIV-40522,1,3757
9379,4239,SODIV-40535,1,1215
9380,4239,SODIV-40028,1,2227
9381,4239,SODIV-40248,3,2803
9382,4239,SODIV-40240,2,2247
9383,4240,SODIV-40161,1,2415
9384,4240,SODIV-40156,1,2119
9385,4241,SODIV-40076,4,531
9386,4242,SODIV-40341,1,1300
9387,4243,SODIV-40071,1,2670
9388,4243,SODIV-40614,1,3279
9389,4244,SODIV-40660,2,1186
9390,4244,SODIV-40177,3,1922
9391,4245,SODIV-40386,4,1830
9392,4246,SODIV-40055,1,1650
9393,4246,SODIV-40317,1,2460
9394,4246,SODIV-40530,2,1197
9395,4247,SODIV-40035,1,1914
9396,4247,SODIV-40217,2,3850
9397,4247,SODIV-40601,1,648
9398,4248,SODIV-40262,2,3718
9399,4249,SODIV-40355,10,3377
9400,4249,SODIV-40629,1,2349
9401,4250,SODIV-40061,2,1728
9402,4250,SODIV-40409,1,3343
9403,4250,SODIV-40480,1,3273
9404,4251,SODIV-40622,1,2784
9405,4252,SODIV-40388,1,2264
9406,4252,SODIV-40483,1,1797
9407,4252,SODIV-40163,1,1348
9408,4253,SODIV-40140,5,2238
9409,4253,SODIV-40556,4,999
9410,4254,SODIV-40300,1,3095
9411,4254,SODIV-40244,5,3147
9412,4254,SODIV-40005,1,1932
9413,4254,SODIV-40307,1,1660
9414,4255,SODIV-40560,1,3032
9415,4256,SODIV-40316,1,1928
9416,4256,SODIV-40589,2,2018
9417,4256,SODIV-40581,5,481
9418,4257,SODIV-40305,1,705
9419,4258,SODIV-40046,3,2357
9420,4258,SODIV-40182,1,2677
9421,4259,SODIV-40217,1,3850
9422,4260,SODIV-40483,1,1797
9423,4261,SODIV-40355,3,3377
9424,4262,SODIV-40554,1,3215
9425,4262,SODIV-40017,1,706
9426,4263,SODIV-40140,1,2238
9427,4264,SODIV-40318,2,68
9428,4264,SODIV-40230,2,2308
9429,4264,SODIV-40196,1,2598
9430,4265,SODIV-40269,1,2537
9431,4266,SODIV-40088,1,2432
9432,4267,SODIV-40055,1,1650
9433,4267,SODIV-40036,1,362
9434,4268,SODIV-40458,4,2717
9435,4268,SODIV-40263,1,2653
9436,4269,SODIV-40642,5,2506
9437,4270,SODIV-40603,1,3772
9438,4270,SODIV-40320,3,1013
9439,4270,SODIV-40508,3,1291
9440,4271,SODIV-40343,1,3962
9441,4271,SODIV-40521,5,533
9442,4271,SODIV-40059,1,2694
9443,4272,SODIV-40299,1,1639
9444,4273,SODIV-40217,1,3850
9445,4273,SODIV-40562,1,3751
9446,4273,SODIV-40340,5,2437
9447,4273,SODIV-40503,3,3144
9448,4274,SODIV-40640,1,2982
9449,4274,SODIV-40533,1,2332
9450,4275,SODIV-40311,1,2768
9451,4275,SODIV-40041,1,2609
9452,4276,SODIV-40329,1,693
9453,4277,SODIV-40591,1,3144
9454,4278,SODIV-40425,1,2568
9455,4278,SODIV-40614,4,3279
9456,4278,SODIV-40531,10,1024
9457,4279,SODIV-40051,1,3110
9458,4279,SODIV-40192,1,248
9459,4279,SODIV-40338,1,298
9460,4280,SODIV-40212,1,1896
9461,4280,SODIV-40161,2,2415
9462,4281,SODIV-40668,1,251
9463,4281,SODIV-40103,1,2827
9464,4282,SODIV-40208,2,660
9465,4282,SODIV-40246,1,602
9466,4283,SODIV-40132,1,2187
9467,4284,SODIV-40258,1,1293
9468,4285,SODIV-40163,1,1348
9469,4286,SODIV-40005,1,1932
9470,4287,SODIV-40307,2,1660
